address,lat,lon
서울특별시 마포구 마포대로 109,37.5450054,126.9512549
서울특별시 서초구 강남대로 455,37.5028558,127.0245298
서울특별시 강동구 양재대로 1625,37.5505838,127.1435166
서울특별시 강서구 양천로47길 12,37.5709935,126.8381173
서울특별시 구로구 오류로 20,37.4863935,126.8394878
서울특별시 강남구 언주로30길 27,37.4883997,127.0525619
서울특별시 동대문구 장한로 121,37.5714515,127.0708858
서울특별시 동대문구 왕산로 294,37.5863847,127.0523529
서울특별시 용산구 한강대로 95,37.5290927,126.9668857
서울특별시 강북구 도봉로 313,37.6364444,127.0234746
서울특별시 중랑구 용마산로115길 127,37.5973916,127.0934422
서울특별시 영등포구 영중로 21,37.5183064,126.9051672
서울특별시 강서구 마곡서로 168,37.5689745,126.825566
서울특별시 동대문구 한천로24길 74-7,37.5682811,127.0684745
서울특별시 노원구 동일로203가길 29,37.6399301,127.0642714
서울특별시 서초구 서초대로77길 62,37.5027557,127.0239029
서울특별시 강서구 화곡로42나길 6-6,37.5466591,126.8464514
서울특별시 송파구 오금로 539,37.4930194,127.1487648
서울특별시 강남구 학동로 342,37.5167495,127.0408461
서울특별시 영등포구 선유로44길 3,37.5328015,126.8959157
서울특별시 용산구 백범로90길 90,37.5377465,126.9688331
서울특별시 서대문구 신촌로 119,37.5561785,126.9390276
서울특별시 송파구 백제고분로51길 7,37.5158288,127.1146734
서울특별시 강서구 양천로49길 54,37.5711016,126.8407998
서울특별시 강서구 양천로 564,37.5570868,126.8613314
서울특별시 중구 만리재로 193,37.5550334,126.9672175
서울특별시 중구 난계로21길 22,37.5702844,127.0223941
서울특별시 마포구 양화로 183,37.5583622,126.9251638
서울특별시 서대문구 서소문로 37,37.5607723,126.9655727
서울특별시 영등포구 도영로 16,37.5078889,126.8960034
서울특별시 강서구 강서로 443,37.5651622,126.8399171
서울특별시 강서구 마곡중앙로 161-1,37.5678531,126.8275104
서울특별시 광진구 광나루로54길 20,37.5401943,127.0953031
서울특별시 중구 난계로 151,37.5649729,127.0233481
서울특별시 동대문구 천호대로 23,37.5746019,127.0263177
서울특별시 마포구 모래내로1길 17,37.5652811,126.9028797
서울특별시 서초구 강남대로 631,37.5181121,127.0185046
서울특별시 송파구 송파대로28길 12,37.493739,127.1194698
서울특별시 구로구 경인로 619-3,37.5068838,126.8840367
서울특별시 광진구 아차산로 345,37.5377234,127.081302
서울특별시 송파구 백제고분로 75,37.5099728,127.0791744
서울특별시 양천구 공항대로 552,37.5495586,126.8669562
서울특별시 강서구 금낭화로 136,37.5774317,126.813028
서울특별시 양천구 목동서로 377,37.5161604,126.8621608
서울특별시 용산구 서빙고로 67,37.5245254,126.9710501
서울특별시 관악구 관천로12길 35,37.4863663,126.9266286
서울특별시 양천구 목동서로 295,37.5208893,126.8690711
서울특별시 서초구 반포대로14길 71,37.486913,127.0145094
서울특별시 서대문구 증가로 259,37.5836735,126.9111874
서울특별시 영등포구 영중로 169,37.531535,126.9054695
서울특별시 서대문구 가재울미래로 15,37.5706065,126.9170763
서울특별시 마포구 만리재로 32,37.5444177,126.954998
서울특별시 송파구 오금로11길 45,37.5160118,127.1123587
서울특별시 광진구 동일로 178,37.5478327,127.0677534
서울특별시 영등포구 문래로 180,37.5179628,126.9020104
서울특별시 광진구 천호대로 538,37.5573825,127.0778925
서울특별시 영등포구 영신로 219,37.5273904,126.9028839
서울특별시 관악구 남부순환로 1798,37.4812754,126.9499143
서울특별시 종로구 사직로8길 42,37.573774,126.9731379
서울특별시 영등포구 양평로22라길 1,37.5394369,126.8943659
서울특별시 용산구 독서당로 65-3,37.5339736,127.0079255
서울특별시 관악구 과천대로 939,37.4743938,126.9814601
서울특별시 강남구 테헤란로14길 8,37.4986601,127.0329497
서울특별시 강남구 도곡로3길 13,37.4910688,127.0326686
서울특별시 종로구 종로 210,37.5706594,127.001224
서울특별시 강남구 광평로 295,37.488566,127.1041591
서울특별시 영등포구 국회대로54길 23,37.5234858,126.9087792
서울특별시 강남구 봉은사로 170,37.5066662,127.0326678
서울특별시 송파구 중대로 127,37.4948608,127.1219418
서울특별시 중구 동호로35길 17,37.5661347,127.0012697
서울특별시 강서구 공항대로 509,37.5521483,126.8632414
서울특별시 영등포구 문래로 33,37.5206418,126.8856261
서울특별시 동대문구 답십리로 292-3,37.571742,127.0730012
서울특별시 양천구 목동중앙북로7나길 49,37.5500973,126.8651138
서울특별시 마포구 월드컵로 190,37.5634263,126.903357
서울특별시 성동구 왕십리로 390,37.5652074,127.0271176
서울특별시 동대문구 한천로24길 70,37.5688813,127.0683157
서울특별시 동대문구 왕산로 86,37.5777567,127.0324762
서울특별시 동대문구 왕산로 52,37.5772191,127.0296638
서울특별시 송파구 석촌호수로 284,37.5107414,127.107
서울특별시 영등포구 당산로29길 7-1,37.5259172,126.8942833
서울특별시 강동구 올림픽로 664,37.5405554,127.1249758
서울특별시 영등포구 선유로11길 5,37.5178557,126.8879531
서울특별시 강서구 마곡중앙로 161-22,37.5686383,126.8257852
서울특별시 영등포구 시흥대로 589-8,37.4859945,126.9022031
서울특별시 강동구 천호대로 1065,37.5370233,127.1304648
서울특별시 성동구 왕십리로 336,37.563151,127.0328462
서울특별시 관악구 봉천로 425-1,37.482947,126.9473699
서울특별시 송파구 송파대로49길 64,37.5060027,127.09793
서울특별시 관악구 관악로 164,37.4797395,126.9528757
서울특별시 중구 난계로21길 39,37.5702768,127.0213007
